race,cluster,lsat,ugpa,zfygpa,zgpa,bar1,fulltime,fam_inc,age,gender
2,5,37,NA,NA,-2.01,F,1,4,-58,male
3,5,37,3.6,NA,0,F,1,3,-62,male
7,5,33,3.3,NA,NA,P,1,4,-60,female
7,4,32.5,3.2,-0.76,-0.56,P,1,4,-62,female
7,5,41,3.9,1.08,0.88,P,1,3,-57,female
7,3,36,2.9,-0.53,-1.05,F,1,4,-61,female
4,1,36,3.1,-0.67,-0.9,P,1,3,-61,female
2,1,34,2.5,-1.14,-0.93,F,1,4,-60,male
7,5,41,3.2,-0.16,-0.19,F,1,5,-59,male
7,3,36,3.3,0.45,0.23,P,1,4,-62,male
7,1,41,3.4,-0.38,-0.83,F,1,3,-58,female
7,2,35,3.3,0.91,1.26,P,1,4,-61,male
7,1,37,3.2,-0.65,-0.59,P,1,3,-61,female
7,5,42,3.8,0.35,0.35,P,1,4,-55,female
7,3,36,3.6,0.45,0.44,P,1,3,-62,female
7,1,44,3.7,-1.26,-1.42,P,1,3,-60,male
7,3,37,3.7,1.08,0.98,P,1,3,-62,male
7,3,34,3.5,-0.2,-0.57,P,1,4,-63,female
7,3,42,3.3,-1.59,-0.82,P,1,4,-62,male
7,5,37.7,3.1,NA,NA,P,1,4,-60,female
7,1,26,2.6,1.28,-0.85,F,2,4,-61,male
7,1,38,3.6,0.22,0.18,P,1,4,-62,female
7,6,29,3,NA,NA,F,1,3,-55,male
7,5,30,2.9,-0.86,-1.43,F,1,4,-60,male
7,2,45,3.1,2.23,2.14,F,1,4,-61,female
7,3,40,2.6,-0.44,-1.36,F,1,4,-60,female
7,3,42,3.9,0.61,0.47,P,1,3,-55,female
7,3,38,2.2,-0.94,-0.91,P,1,4,-57,male
7,3,37,2.5,-0.77,-1.55,F,1,5,-61,male
7,3,35,3.2,-0.69,-0.49,F,1,NA,-62,male
7,3,NA,3.4,0.32,0.49,P,1,2,-37,female
7,5,45,3.6,0.25,0.19,P,1,4,-65,female
7,1,39,3.5,-0.81,-0.07,P,1,3,-49,male
5,3,31,3,-1.46,-1.34,F,2,2,-42,male
7,3,34,3,-0.5,-1.41,F,1,4,-62,female
7,1,41,3.8,1.6,1.49,P,1,3,-62,female
7,4,43,3.6,-0.99,-0.1,P,1,4,-60,female
4,3,27,2.3,-1.26,-1.27,P,1,3,-55,male
7,1,39,3.4,1,0.19,F,1,4,-62,female
7,3,32,3.2,-1.48,-1.65,F,1,4,-62,female
7,1,30,3.2,-1.38,-1.32,F,1,3,-61,female
7,3,38,2.9,-1.51,-0.31,P,1,4,-62,female
2,4,31,2.6,-1.26,-1.87,F,1,5,-59,male
7,6,27,2.5,NA,NA,F,1,3,-46,male
7,3,33,2.5,-0.32,-1.27,P,1,4,-58,male
7,4,41,3,0.49,0.38,P,1,4,-62,female
7,3,40,3.7,-0.75,-0.73,F,1,3,-59,female
7,3,34,2.7,-1.71,-1.54,F,1,4,-60,male
3,4,25,3.3,-0.09,-0.24,F,1,2,-61,female
7,5,44,3.8,0.78,1.4,P,1,4,-62,female
7,1,35.5,3.6,-0.09,0.38,P,1,2,-53,male
1,5,39,2.8,NA,NA,F,1,3,-53,female
7,4,38,3,-1.23,-0.86,P,1,5,-61,male
7,5,48,3.8,NA,0,P,1,2,-57,male
7,4,48,3.8,0.86,0.99,P,1,2,-56,female
7,4,36,3.2,-1.37,NA,P,1,4,-59,female
7,3,37,3.6,1.45,1.39,P,1,3,-62,female
7,1,35,3.5,0.26,0.26,P,1,4,-58,male
7,3,37,3.1,1.33,0.65,P,1,4,-62,female
7,1,42,3.2,0.58,0.74,P,1,4,-59,male
3,5,33,3.9,-1.43,NA,P,1,4,-61,female
7,3,37,3.8,-0.88,-2.11,F,1,3,-62,female
4,1,23.5,2.3,-1.38,-1.77,P,1,1,-56,male
6,1,40,3.6,-0.01,-0.02,P,1,4,-61,female
7,4,37.5,3,-0.54,-0.51,P,2,4,-58,male
3,3,27,3.3,1.25,0.41,P,1,2,-61,female
3,1,24,2.6,-1.6,-1.77,F,1,3,-61,female
3,3,26,2.3,-2.05,-1.39,F,2,3,-56,male
7,1,40,3.4,-0.49,-0.57,F,1,3,-53,male
7,1,39,3.5,1.84,1.89,P,1,3,-59,male
7,4,36.5,3.4,-0.8,-0.87,F,1,2,-58,female
7,3,37,2.2,-0.47,-0.9,F,2,5,-52,male
7,1,32,3.3,0.28,0,P,1,2,-55,female
3,3,19,3.2,-0.7,-0.45,F,1,3,-62,female
7,3,31.5,3,-0.44,-0.17,P,1,4,-61,female
7,2,33,3.5,NA,NA,F,1,3,-62,male
2,3,38,2.8,-1.26,-1.86,P,1,2,-60,male
7,2,27.5,3.1,-0.02,-0.77,F,1,4,-61,male
7,3,44,3.1,-0.79,-1.34,P,1,4,-61,male
3,1,32,2.4,-0.53,-0.7,F,1,1,-56,male
5,1,29,2.8,-1.32,-2.31,F,1,2,-64,male
7,3,36,2.3,-0.95,NA,F,1,2,-24,male
7,3,36,3.3,0.14,0.53,P,2,3,-57,male
7,3,30,3,-0.09,-0.61,F,1,3,-61,male
7,3,34,3.4,0.8,0.81,P,1,4,-56,female
7,1,40,3.2,-0.78,-1.25,P,1,4,-61,male
7,1,35,3.7,-0.37,-0.27,P,1,3,-62,male
7,4,42.5,3.6,0.94,0.84,P,1,5,-60,female
7,4,36,2.8,-1.05,-1.47,F,1,4,-62,male
6,1,33,3.1,-0.81,-1.55,F,1,3,-62,female
7,3,39,3.4,-0.05,-0.35,F,1,4,-61,female
7,1,39,3.8,0.38,-0.06,P,1,4,-62,male
7,4,42,3.9,-0.18,-0.08,P,1,4,-62,female
7,4,31,3,-1.66,-0.95,F,1,3,-57,female
7,2,33,2.9,1.21,2.3,P,1,4,-61,female
7,4,38,3.3,0.74,0.45,P,1,3,-62,female
7,2,39,3.7,1.4,1.85,P,1,1,-59,male
7,1,42,3.4,-0.4,0.21,P,1,2,-59,female
7,3,32,3,0.56,1.89,P,2,3,-52,female
3,5,26,3.2,-2.22,-2.14,F,1,4,-61,female
7,1,37,3.6,0.5,0.18,F,1,3,-59,male
3,4,29,2.7,NA,NA,F,2,4,-43,male
7,3,36,3.2,2,2.31,P,1,4,-50,female
7,1,38.5,3.6,1.2,1.23,P,1,4,-62,male
7,3,35,NA,1.23,1.35,P,1,3,-51,female
7,2,30,3.2,-1.13,-1.27,F,1,3,-48,female
7,3,30,3.1,0.75,0.8,P,1,5,-66,male
7,3,39,3.1,1.44,0.84,P,2,4,-61,female
3,6,30,2.7,1.14,0.29,P,1,2,-57,male
2,5,40,2.8,NA,NA,F,1,4,-63,male
7,2,34,3,-0.55,0.43,P,2,4,-62,female
2,4,42,2.9,1.31,-0.17,P,1,4,-59,male
7,3,36,NA,1.39,1.25,P,1,3,-60,male
7,3,33,3.2,0.6,0.17,P,2,2,-45,male
7,3,24,3,-1.04,-0.78,F,1,3,-55,male
7,5,46,3.1,2.03,0.98,P,1,3,-56,male
7,2,31.5,2.6,-0.96,-1.49,F,1,3,-62,female
7,4,33,3.8,0.77,0.99,P,1,3,-62,female
7,3,45,3.5,0.15,0.95,F,1,2,-49,male
7,3,31,3.6,1.27,1.05,P,1,4,-54,female
7,1,38,3,0.12,0.07,P,1,3,-49,female
7,1,44,3.8,0.21,0.35,P,1,4,-63,male
7,3,33,3.1,-0.45,-0.76,P,1,4,-62,male
7,3,36,3.6,-0.89,-0.29,P,1,2,-47,male
7,3,35,3.3,-1.06,-0.77,F,1,3,-62,male
7,4,32.3,3.2,-1.51,-1.51,F,1,4,-65,female
7,3,33,3.1,-1.42,-1.03,F,1,3,-60,male
7,5,20,NA,-1.56,-2.37,F,2,1,-59,female
7,3,38,3,0.48,0.65,F,1,4,-61,male
7,3,44,2.6,0.26,-0.37,P,1,3,-62,male
3,4,28.5,3.4,-2.87,-2.52,F,1,2,-66,female
7,5,44,3.3,0.06,NA,P,1,1,-58,male
7,1,41,3,-0.46,0.14,P,1,4,-61,male
4,3,29,3,-0.57,-1.02,F,1,2,-51,male
8,3,37,3.9,-0.05,0,P,1,4,-62,male
7,4,43,3.5,-0.66,-0.79,P,1,4,-62,female
7,4,43,3.7,-0.26,-0.4,F,1,4,-67,male
3,4,33,2.6,-1.35,-1.3,F,2,4,-50,female
7,4,38,2.1,-1.81,-1.82,F,1,4,-54,female
7,3,37,2.7,-0.49,-0.78,P,1,4,-61,male
7,3,33,3.6,0.25,0.5,F,1,2,-48,female
7,3,37,2.9,-0.14,0.1,P,1,4,-61,female
2,3,28,3.2,-0.55,-1.37,F,1,3,-60,male
7,5,42,4,NA,0,P,1,4,-62,female
3,3,25,2.4,-1.29,-1.52,F,1,4,-66,female
2,5,41,2.9,-1.26,-1.07,F,1,4,-60,male
7,NA,27,2.7,0.31,-1.1,F,2,1,-60,male
3,3,27,2.7,-1.9,-1.27,F,1,4,-60,female
7,4,36,3.3,-0.38,-0.41,P,1,4,-62,male
7,4,42,3.5,1,0.03,P,1,4,-62,female
7,4,47,3.6,0.6,0.83,P,1,5,-61,male
7,3,36,2.5,0.07,-0.04,P,1,4,-62,male
